date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-10-24,65.78,67.85,66.25,65.56,810632.06,0.74,1.13,65.552,64.484,65.378,1068296.65,914660.76,812897.9
2018-10-23,68.0,68.32,65.51,64.88,1172134.5,-2.42,-3.56,65.134,64.324,65.272,1058450.62,891877.46,804144.76
2018-10-22,66.01,69.42,67.93,65.62,1616881.75,2.31,3.52,64.832,64.273,65.122,940830.72,823295.92,759017.83
2018-10-19,61.99,66.1,65.62,61.88,1138815.12,3.17,5.08,63.886,63.958,64.89,725403.02,774452.22,706092.26
2018-10-18,63.49,63.52,62.45,62.25,603019.81,-1.71,-2.67,63.536,64.246,64.729,652563.34,734523.09,676093.86
2018-10-17,65.17,65.32,64.16,62.41,761401.94,0.16,0.25,63.416,64.721,64.637,761024.88,736578.54,667715.88
2018-10-16,63.35,65.18,64.0,63.33,584035.0,0.8,1.27,63.514,65.101,64.513,725304.29,751290.9,646999.31
2018-10-15,63.9,64.44,63.2,63.09,539743.25,-0.67,-1.05,63.714,65.42,64.414,705761.11,750697.79,633967.06
2018-10-12,62.5,64.25,63.87,62.3,774616.69,2.02,3.27,64.03,65.849,64.393,823501.41,777766.57,631715.48
2018-10-11,62.1,63.2,61.85,61.38,1145327.5,-2.8,-4.33,64.956,65.942,64.266,816482.84,742197.28,615855.96
2018-10-10,65.09,65.58,64.65,64.2,582799.0,-0.35,-0.54,66.026,66.272,64.313,712132.21,711135.03,583961.45
2018-10-09,64.63,65.38,65.0,64.33,486319.09,0.22,0.34,66.688,66.219,64.321,777277.51,716412.06,587740.43
2018-10-08,66.8,66.84,64.78,64.71,1128444.75,-3.72,-5.43,67.126,65.97,64.207,795634.46,694739.74,579614.01
2018-09-28,67.5,69.1,68.5,67.44,739523.88,1.3,1.94,67.668,65.822,64.117,732031.73,637732.31,549247.47
2018-09-27,67.73,67.75,67.2,66.86,623574.31,-0.76,-1.12,66.928,65.212,63.85,667911.71,617664.62,535196.09
2018-09-26,67.23,69.0,67.96,66.83,908525.5,0.77,1.15,66.518,64.552,63.641,710137.86,598853.22,517963.72
2018-09-25,66.9,67.73,67.19,66.48,578103.88,-0.3,-0.45,65.75,63.924,63.388,655546.62,542707.73,493784.65
2018-09-21,65.28,67.5,67.49,64.97,810431.06,2.69,4.15,64.814,63.408,63.202,593845.02,517236.34,494169.13
2018-09-20,65.2,65.56,64.8,64.61,418923.78,-0.35,-0.54,63.976,62.937,62.951,543432.89,485664.4,482279.15
2018-09-19,64.09,65.8,65.15,63.81,834705.06,1.03,1.61,63.496,62.589,62.817,567417.54,489514.65,499138.53
2018-09-18,62.15,64.3,64.12,62.1,635569.31,1.61,2.58,62.586,62.354,62.606,487568.58,456787.86,509496.13
2018-09-17,62.3,63.18,62.51,62.25,269595.88,-0.79,-1.25,62.098,62.422,62.371,429868.83,459068.8,509550.2
2018-09-14,62.57,63.76,63.3,62.42,558370.44,0.9,1.44,62.002,62.444,62.136,440627.66,464488.28,519177.54
2018-09-13,61.78,62.4,62.4,61.01,538847.0,1.8,2.97,61.898,62.412,61.798,427895.9,460762.63,508827.02
2018-09-12,61.31,61.46,60.6,60.28,435460.28,-1.08,-1.75,61.682,62.488,61.527,411611.76,452727.57,505638.42
2018-09-11,62.0,62.58,61.68,61.25,347070.56,-0.35,-0.56,62.122,62.729,61.347,426007.14,437074.22,514552.8
2018-09-10,62.6,62.87,62.03,61.6,323390.0,-0.75,-1.2,62.746,62.851,61.217,488268.78,444861.58,512636.3
2018-09-07,61.88,63.5,62.78,61.6,494711.66,1.46,2.38,62.886,62.995,61.094,488348.89,471101.93,519199.28
2018-09-06,62.1,62.52,61.32,61.01,457426.28,-0.86,-1.38,62.926,62.964,60.978,493629.36,478893.91,511915.77
2018-09-05,64.41,64.64,62.8,62.8,507437.19,-2.0,-3.09,63.294,63.045,60.943,493843.37,508762.41,520816.11
2018-09-04,62.85,64.93,64.8,62.54,658378.75,2.07,3.3,63.336,62.858,60.723,448141.29,562204.41,516049.71
2018-09-03,62.6,63.0,62.73,62.11,323790.59,-0.25,-0.4,62.956,62.32,60.461,401454.39,560031.59,511223.83
2018-08-31,62.4,63.43,62.98,62.2,521114.0,-0.18,-0.28,63.104,61.828,60.216,453854.96,573866.8,516023.58
2018-08-30,63.5,64.05,63.16,63.02,458496.34,0.15,0.24,63.002,61.183,59.958,464158.46,556891.41,508072.05
2018-08-29,62.68,63.3,63.01,62.65,278926.78,0.11,0.17,62.796,60.565,59.712,523681.45,558549.27,517487.44
2018-08-28,63.8,63.84,62.9,62.6,424944.22,-0.57,-0.9,62.38,59.965,59.545,676267.52,592031.38,531712.82
2018-08-27,63.08,63.68,63.47,62.72,585793.44,1.0,1.6,61.684,59.583,59.48,718608.8,580411.03,523500.54
2018-08-24,61.7,63.33,62.47,61.5,572631.5,0.34,0.55,60.552,59.192,59.386,693878.64,567296.63,513029.37
2018-08-23,61.01,62.38,62.13,61.01,756111.31,1.2,1.97,59.364,58.991,59.306,649624.35,544937.63,501106.38
2018-08-22,61.28,61.5,60.93,60.37,1041857.12,1.51,2.54,58.334,58.84,59.24,593417.09,532869.81,487430.48
2018-08-21,57.86,59.65,59.42,57.86,636650.62,1.61,2.79,57.55,58.587,59.301,507795.25,469895.01,455787.94
2018-08-20,56.94,57.82,57.81,56.76,462142.66,1.23,2.17,57.482,58.601,59.416,442213.26,462416.06,465797.76
2018-08-17,57.7,57.82,56.53,56.46,351360.06,-0.45,-0.79,57.832,58.604,59.58,440714.62,458180.36,482919.29
2018-08-16,56.38,57.95,56.98,55.88,475074.97,-0.05,-0.09,58.618,58.733,59.796,440250.91,459252.69,518818.83
2018-08-15,59.03,59.05,57.01,56.67,613747.94,-2.04,-3.46,59.346,58.858,59.884,472322.53,476425.62,530250.03
2018-08-14,59.56,59.72,59.08,58.58,308740.66,-0.47,-0.79,59.624,59.124,59.923,431994.76,471394.25,522786.89
